bank,date,USD,AUD,EUR,JPY,SGD
STB,2022-03-16,23007,16849,25531,197.89,16909
STB,2022-03-17,23000,17057,25633,197.46,16972
STB,2022-03-18,22996,17177,25691,196.81,16973
STB,2022-03-21,22992,17184,25689,196.26,16967
STB,2022-03-22,23007,17275,25559,193.79,16942
STB,2022-03-23,23004,17417,25578,193.55,16955
STB,2022-03-24,23002,17413,25542,192.52,16951
STB,2022-03-25,22998,17476,25590,192.65,16968
STB,2022-03-28,22860,16474,25673,198.99,16896
STB,2022-03-29,22999,17459,25655,189.4,16919
STB,2022-03-30,22985,17473,25846,192.06,16986
STB,2022-03-31,22887,17248,25418,186.25,16935
STB,2022-04-01,22968,17458,25639,190.99,16947
STB,2022-04-04,22976,17478,25559,190.9,16943
STB,2022-04-05,23004,17769,25512,190.73,16980
STB,2022-04-06,22996,17644,25355,189.14,16934
STB,2022-04-07,22988,17407,25307,189.31,16908
STB,2022-04-08,22991,17352,25255,188.78,16874
STB,2022-04-12,23020,17319,25294,186.75,16889
STB,2022-04-13,23016,17293,25191,186,16882
STB,2022-04-14,23030,17358,25399,187.2,17014
STB,2022-04-15,23029,17273,25171,185.59,16984
STB,2022-04-18,23054,17188,25157,185.58,16952
STB,2022-04-19,23088,17225,25182,183.45,16906
STB,2022-04-20,23095,17388,25332,183.99,16937
STB,2022-04-21,23094,17392,25475,183.94,16981
STB,2022-04-22,23099,17081,25224,183.35,16915
STB,2022-04-25,23115,16762,25068,183.8,16831
STB,2022-04-26,23101,16871,24952,184.22,16828
STB,2022-04-27,23090,16730,24775,184.02,16757
STB,2022-04-28,23008,17518,25516,188.62,16919
STB,2022-04-29,22999,17459,25655,189.4,16919
STB,2022-05-04,23094,16653,24575,181.16,16711
STB,2022-05-05,23083,16886,24747,181.62,16775
STB,2022-05-06,23081,16584,24633,180.49,16678
STB,2022-05-09,23076,16394,24540,179.43,16588
STB,2022-05-10,23069,16307,24620,180.75,16620
STB,2022-05-11,23217,16371,24758,181.67,16728
STB,2022-05-12,23227,16197,24542,184.17,16663
STB,2022-05-13,23216,16194,24422,184.07,16651
STB,2022-05-16,23221,16267,24480,183,16668
STB,2022-05-17,23257,16533,24603,183.41,16767
STB,2022-05-18,23270,16567,24770,183.74,16801
STB,2022-05-19,23303,16493,24726,185.83,16802
STB,2022-05-20,23301,16675,24907,185.43,16920
STB,2022-05-23,23340,16768,25074,186.21,16963
STB,2022-05-24,23322,16729,25250,186.17,16974
STB,2022-05-25,23115,16762,25068,183.8,16831
STB,2022-05-26,23101,16871,24952,184.22,16828
STB,2022-05-27,23090,16730,24775,184.02,16757
STB,2022-05-31,23204,16528,24959,182.51,16962
STB,2022-06-01,23334,16972,25315,183.84,17015
STB,2022-06-02,23329,16982,25203,183.1,16962
STB,2022-06-03,23323,17138,25352,183.26,17019
STB,2022-06-06,23313,17036,25297,181.78,16985
STB,2022-06-07,23315,16988,25193,179.24,16940
STB,2022-06-08,23319,17010,25183,178.73,16976
STB,2022-06-09,23300,16908,25200,178.05,16952
STB,2022-06-10,23312,16815,24974,177.69,16896
STB,2022-06-13,23342,16604,24750,176.85,16824
STB,2022-06-14,23349,16442,24697,177.3,16804
STB,2022-06-15,23348,16350,24754,177.02,16801
STB,2022-06-16,23361,16524,24563,178.49,16828
STB,2022-06-17,23369,16572,24888,177.25,16887
STB,2022-06-20,23366,16544,24887,178.5,16867
STB,2022-06-21,23362,16479,25100,175.98,16886
STB,2022-06-22,23369,16314,24748,175.06,16822
STB,2022-06-23,23381,16299,24900,175.84,16826
STB,2022-06-24,23440,16374,24918,176.72,16857
STB,2022-06-27,23.378,16.436,24.279,17665,16.885
STB,2022-06-28,23.355,16.448,25.025,17578,16.88
STB,2022-06-29,23355,16325,24862,175.35,16851
STB,2022-06-30,23355,16325,24862,175.35,16851
STB,2022-07-01,23410,16167,24780,176.62,16826
STB,2022-07-04,23410,16167,24780,176.62,16826
STB,2022-07-05,23460,16169,24484,176.53,16751
STB,2022-07-06,23470,16197,24393,177.13,16767
STB,2022-07-07,23465,16247,24246,176.23,16780
STB,2022-07-08,23460,16213,24151,176.61,16743
STB,2022-07-11,23453,16201,24054,175.16,16772
STB,2022-07-12,23493,16029,23819,175.04,16723
STB,2022-07-13,23497,16126,23900,175.02,16740
STB,2022-07-14,23523,16111,23907,173.3,16900
STB,2022-07-15,23555,16081,23900,173.55,16805
STB,2022-07-18,23550,16335,24199,174.18,16898
STB,2022-07-19,23520,16439,24380,174.54,16936
STB,2022-07-20,23520,16474,24349,174,16915
STB,2022-07-21,23520,16449,24303,173.74,16912
STB,2022-07-22,23509,16487,24263,174.61,16934
STB,2022-07-25,23495,16531,24300,176.11,16988
STB,2022-07-26,23460,16552,24260,175.65,16956
STB,2022-07-27,23.378,16.436,24.279,17665,16.885
STB,2022-07-28,23.355,16.448,25.025,17578,16.88
STB,2022-07-29,23355,16325,24862,175.35,16851
STB,2022-08-01,23462,16716,24358,180.94,17261
STB,2022-08-02,23459,16544,24320,183.06,17239
STB,2022-08-03,23480,16512,24184,179.99,17234
STB,2022-08-04,23507,16612,24231,178.98,17269
STB,2022-08-05,23499,16567,24318,180.22,17303
STB,2022-08-08,23495,16585,24244,177.72,17270
STB,2022-08-09,23497,16633,24368,177.97,17286
STB,2022-08-10,23491,16615,24308,177.81,17283
STB,2022-08-11,23500,16905,24545,180.94,17377
STB,2022-08-12,23494,16959,24522,179.89,17380
